IDENT;Age;DEPT_LOG;SO_LOG
101;0;93;Parents
101;1;93;Parents
101;2;93;Parents
101;3;93;Parents
101;4;93;Parents
101;5;93;Parents
101;6;93;Parents
101;7;93;Parents
101;8;93;Parents
101;9;93;Parents
101;10;93;Parents
101;11;93;Parents
101;12;93;Parents
101;13;93;Parents
101;14;93;Parents
101;15;93;Parents
101;16;93;Parents
101;17;93;Parents
101;18;93;Propriétaire
101;19;93;Propriétaire
101;20;93;Propriétaire
101;21;93;Propriétaire
101;22;93;Propriétaire
101;23;93;Propriétaire
101;24;93;Propriétaire
101;25;93;Propriétaire
101;26;93;Propriétaire
101;27;93;Propriétaire
101;28;93;Propriétaire
101;29;93;Propriétaire
101;30;93;Propriétaire
101;31;93;Propriétaire
101;32;93;Propriétaire
101;33;93;Propriétaire
101;34;93;Propriétaire
101;35;93;Propriétaire
101;36;93;Propriétaire
101;37;93;Propriétaire
101;38;93;Propriétaire
101;39;93;Propriétaire
101;40;93;Propriétaire
101;41;93;Propriétaire
101;42;93;Propriétaire
101;43;93;Propriétaire
101;44;93;Propriétaire
101;45;93;Propriétaire
101;46;93;Propriétaire
101;47;93;Propriétaire
101;48;93;Propriétaire
101;49;93;Propriétaire
101;50;93;Propriétaire
101;51;93;Propriétaire
101;52;93;Propriétaire
101;53;93;Propriétaire
101;54;93;Propriétaire
101;55;93;Propriétaire
101;56;93;Propriétaire
101;57;93;Propriétaire
101;58;93;Propriétaire
101;59;93;Propriétaire
101;60;93;Propriétaire
101;61;93;Propriétaire
101;62;93;Propriétaire
102;0;37;Parents
102;1;37;Parents
102;2;37;Parents
102;3;37;Parents
102;4;37;Parents
102;5;37;Parents
102;6;37;Parents
102;7;37;Parents
102;8;37;Parents
102;9;37;Parents
102;10;75;Parents
102;11;75;Parents
102;12;75;Parents
102;13;75;Parents
102;14;75;Parents
102;15;75;Parents
102;16;75;Parents
102;17;75;Parents
102;18;75;Parents
102;19;75;Parents
102;20;75;Parents
102;21;75;Parents
102;22;93;Locataire privé
102;23;93;Locataire privé
102;24;93;Locataire privé
102;25;93;Locataire privé
102;26;93;Propriétaire
102;27;93;Propriétaire
102;28;93;Propriétaire
102;29;93;Propriétaire
102;30;93;Propriétaire
102;31;93;Propriétaire
102;32;93;Propriétaire
102;33;93;Propriétaire
102;34;93;Propriétaire
